id,name,state,city,county,geocode_display_name,roof_area_sqft,latitude,longitude,company_id,building_type,land_use_type,footprint_wkt,data_source
ms-tx-000394,Microsoft footprint TX #395,TX,Houston,Harris County,"Night High School, 12501, High Star Drive, Alief, Houston, Harris County, Texas, 77072, United States",105571.49,29.7094725,-95.6003224,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.601468 29.709668, -95.601511 29.709561, -95.601455 29.709544, -95.601452 29.709397, -95.601487 29.709396, -95.601485 29.709282, -95.600562 29.709294, -95.600483 29.709271, -95.600481 29.709158, -95.600119 29.709163, -95.600122 29.709302, -95.59917 29.709314, -95.599171 29.709395, -95.599131 29.709395, -95.599131 29.709414, -95.599203 29.709435, -95.599205 29.709583, -95.5991 29.709584, -95.5991 29.709625, -95.599175 29.709624, -95.599177 29.709701, -95.600106 29.709689, -95.600115 29.709665, -95.600182 29.709664, -95.600181 29.709611, -95.600479 29.709607, -95.60048 29.70966, -95.600555 29.709659, -95.600555 29.70968, -95.601468 29.709668)))",microsoft_us_building_footprints
ms-tx-000395,Microsoft footprint TX #396,TX,Sugar Land,Fort Bend County,"Cardinal Meadow Drive, Sugar Land, Fort Bend County, Texas, 77478, United States",216186.13,29.6385657,-95.6027087,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.603743 29.638231, -95.603224 29.637804, -95.603356 29.637682, -95.603072 29.637448, -95.602763 29.637733, -95.602829 29.637788, -95.60249 29.6381, -95.602401 29.638026, -95.602045 29.638353, -95.60206 29.638365, -95.601973 29.638445, -95.602385 29.638784, -95.601686 29.639426, -95.602086 29.639755, -95.603743 29.638231)))",microsoft_us_building_footprints
ms-tx-000396,Microsoft footprint TX #397,TX,Sugar Land,Fort Bend County,"Gillingham Lane, Sugar Land, Fort Bend County, Texas, 77478, United States",442739.88,29.6406431,-95.6159837,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.617281 29.641378, -95.617267 29.639867, -95.617173 29.639867, -95.617173 29.639892, -95.614813 29.639908, -95.614817 29.640363, -95.614511 29.640365, -95.614517 29.640945, -95.614822 29.640943, -95.614827 29.641395, -95.617281 29.641378)))",microsoft_us_building_footprints
ms-tx-000397,Microsoft footprint TX #398,TX,Houston,Harris County,"14646, Broadgreen Drive, Westchester, Houston, Harris County, Texas, 77079, United States",157422.5,29.7685964,-95.6074809,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.608482 29.768218, -95.606615 29.768236, -95.606619 29.768526, -95.606506 29.768527, -95.606507 29.768592, -95.606631 29.768591, -95.606633 29.768782, -95.60668 29.768782, -95.606681 29.768847, -95.606508 29.768848, -95.60651 29.769063, -95.606653 29.769061, -95.606653 29.769057, -95.606918 29.769054, -95.606917 29.76897, -95.607 29.768969, -95.607 29.768941, -95.607035 29.768941, -95.607035 29.768982, -95.608029 29.768972, -95.608027 29.768797, -95.608489 29.768792, -95.608482 29.768218)))",microsoft_us_building_footprints
ms-tx-000398,Microsoft footprint TX #399,TX,Houston,Harris County,"Mercedes-Benz, Katy Freeway Frontage Road, Addicks, Houston, Harris County, Texas, 77077, United States",174580.82,29.7863839,-95.6468852,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.647675 29.786865, -95.647676 29.785878, -95.647043 29.785878, -95.647043 29.785829, -95.646957 29.785829, -95.646957 29.785878, -95.646566 29.785877, -95.646566 29.786094, -95.646344 29.786094, -95.646344 29.786136, -95.645998 29.786135, -95.645998 29.786091, -95.645887 29.786091, -95.645887 29.786135, -95.64578 29.786135, -95.645779 29.786515, -95.646088 29.786515, -95.646088 29.786709, -95.646381 29.786709, -95.646381 29.786517, -95.646421 29.786517, -95.646422 29.786471, -95.64656 29.786471, -95.646559 29.786946, -95.647136 29.786946, -95.647136 29.786865, -95.647675 29.786865)))",microsoft_us_building_footprints
ms-tx-000399,Microsoft footprint TX #400,TX,Sugar Land,Fort Bend County,"At Home, 16960, Southwest Freeway, Sugar Land, Fort Bend County, Texas, 77479, United States",111959.43,29.5900158,-95.6385095,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.639014 29.590526, -95.63901 29.589607, -95.638479 29.589609, -95.638478 29.589395, -95.63806 29.589396, -95.638062 29.589993, -95.638026 29.589993, -95.638026 29.590152, -95.638063 29.590152, -95.638064 29.590529, -95.639014 29.590526)))",microsoft_us_building_footprints
ms-tx-000400,Microsoft footprint TX #401,TX,,Harris County,"10101, Telge Road, Harris County, Texas, 77095, United States",216477.44,29.9264638,-95.6449691,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.644839 29.925418, -95.644924 29.92554, -95.644853 29.925577, -95.645075 29.925692, -95.64507 29.926203, -95.644643 29.9262, -95.644652 29.925287, -95.644424 29.925286, -95.644404 29.92742, -95.64525 29.927425, -95.645254 29.927033, -95.645257 29.927039, -95.64544 29.926774, -95.645438 29.926947, -95.645531 29.926814, -95.645529 29.92701, -95.645617 29.926883, -95.645609 29.926872, -95.645798 29.926598, -95.6458 29.926397, -95.645583 29.926396, -95.645587 29.925984, -95.645307 29.926131, -95.645315 29.925169, -95.644839 29.925418)))",microsoft_us_building_footprints
ms-tx-000401,Microsoft footprint TX #402,TX,Sugar Land,Fort Bend County,"Kempner High School, 14777, Voss Road, Sugar Land, Fort Bend County, Texas, 77498, United States",209709.2,29.6431704,-95.6459565,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.646783 29.643838, -95.646781 29.643649, -95.646746 29.64365, -95.646741 29.643272, -95.646287 29.643277, -95.64628 29.642769, -95.646787 29.642763, -95.646784 29.642537, -95.646749 29.642538, -95.646746 29.642353, -95.64669 29.642354, -95.646692 29.642513, -95.646102 29.642519, -95.6461 29.642321, -95.64551 29.642327, -95.645512 29.642488, -95.645382 29.642489, -95.645393 29.643277, -95.645247 29.643278, -95.64525 29.64348, -95.64514 29.643481, -95.645142 29.643659, -95.645257 29.643657, -95.64526 29.643863, -95.645764 29.643858, -95.645764 29.643849, -95.646783 29.643838)))",microsoft_us_building_footprints
ms-tx-000402,Microsoft footprint TX #403,TX,Houston,Harris County,"Walmart Supercenter, 15955, Lakeview Haven Drive, Houston, Harris County, Texas, 77095, United States",226055.64,29.8769953,-95.6517359,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.652701 29.876463, -95.650966 29.876476, -95.650969 29.876713, -95.650863 29.876714, -95.650864 29.876749, -95.650607 29.876751, -95.650609 29.8769, -95.650863 29.876898, -95.650866 29.87715, -95.650627 29.877152, -95.650632 29.87756, -95.650872 29.877558, -95.65087 29.877397, -95.651388 29.877393, -95.651389 29.877529, -95.651492 29.877528, -95.651493 29.877561, -95.651597 29.87756, -95.651597 29.877526, -95.652223 29.877521, -95.652224 29.877554, -95.652328 29.877553, -95.652328 29.877518, -95.6525 29.877517, -95.652498 29.877378, -95.65271 29.877377, -95.652701 29.876463)))",microsoft_us_building_footprints
ms-tx-000403,Microsoft footprint TX #404,TX,Katy,Harris County,"Sam's Club, 20424, Katy Freeway, Katy, Harris County, Texas, 77449, United States",131914.69,29.7873512,-95.7258964,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.726536 29.786954, -95.725578 29.786952, -95.725578 29.786899, -95.725173 29.786898, -95.725172 29.787387, -95.725294 29.787388, -95.725293 29.787783, -95.726531 29.787785, -95.726532 29.787458, -95.7268 29.787458, -95.7268 29.787319, -95.726535 29.787318, -95.726536 29.786954)))",microsoft_us_building_footprints
ms-tx-000404,Microsoft footprint TX #405,TX,Richmond,Fort Bend County,"Mrs. Jane Herbert Wilkinson Long, Richmond Parkway, Richmond, Fort Bend County, Texas, 77469, United States",101061.94,29.5649345,-95.7221379,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.72276 29.564851, -95.722717 29.564838, -95.722742 29.564776, -95.722128 29.564587, -95.722192 29.564429, -95.722105 29.564403, -95.722158 29.564274, -95.722097 29.564255, -95.722111 29.564221, -95.721995 29.564186, -95.721804 29.564654, -95.721786 29.564656, -95.7215 29.564568, -95.721396 29.564822, -95.721793 29.564944, -95.721782 29.564971, -95.721799 29.565082, -95.721724 29.56509, -95.721717 29.565044, -95.721664 29.56505, -95.721689 29.5652, -95.721781 29.565229, -95.721769 29.565151, -95.721932 29.565133, -95.721983 29.565149, -95.721888 29.565382, -95.72247 29.565562, -95.72276 29.564851)))",microsoft_us_building_footprints
ms-tx-000405,Microsoft footprint TX #406,TX,Katy,Harris County,"Morton Ranch Junior High, 2498, Maverick Park Lane, Morton Ranch, Katy, Harris County, Texas, 77449, United States",145269.61,29.8086195,-95.7442765,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.744733 29.807761, -95.743728 29.807767, -95.743731 29.808169, -95.74402 29.808167, -95.744022 29.808389, -95.74425 29.808482, -95.744223 29.808532, -95.744114 29.808488, -95.74415 29.808547, -95.744126 29.808609, -95.744127 29.808741, -95.743855 29.808865, -95.743785 29.808993, -95.743786 29.809044, -95.743979 29.809043, -95.743983 29.809569, -95.744015 29.809569, -95.744015 29.809608, -95.744627 29.809605, -95.744623 29.809155, -95.744489 29.809156, -95.744489 29.809091, -95.744751 29.80909, -95.744623 29.808877, -95.744488 29.808822, -95.744602 29.808613, -95.744602 29.808555, -95.744484 29.808362, -95.744613 29.808303, -95.744736 29.808078, -95.744733 29.807761)))",microsoft_us_building_footprints
ms-tx-000406,Microsoft footprint TX #407,TX,Katy,Fort Bend County,"Jo Ella Exley Elementary, 21800, Westheimer Parkway, Cinco Ranch, Katy, Fort Bend County, Texas, 77450, United States",116785.93,29.7350623,-95.7497899,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.750673 29.73521, -95.75051 29.734591, -95.750045 29.734683, -95.750036 29.734648, -95.749855 29.734684, -95.749881 29.734783, -95.749634 29.734832, -95.749664 29.734663, -95.749483 29.734699, -95.749622 29.734884, -95.749119 29.734816, -95.74915 29.734935, -95.749067 29.734951, -95.749109 29.735114, -95.748731 29.735189, -95.748786 29.735396, -95.749178 29.735318, -95.749217 29.735466, -95.749309 29.735448, -95.749331 29.735532, -95.749536 29.735492, -95.749511 29.735397, -95.749681 29.735363, -95.7497 29.735434, -95.749881 29.735398, -95.74986 29.735316, -95.750035 29.735281, -95.750054 29.735352, -95.750237 29.735316, -95.750216 29.735234, -95.75033 29.735211, -95.750347 29.735275, -95.750673 29.73521)))",microsoft_us_building_footprints
ms-tx-000407,Microsoft footprint TX #408,TX,Richmond,Fort Bend County,"H-E-B Pharmacy, 23500, Circle Oak Parkway, Del Webb Sweetgrass, Richmond, Fort Bend County, Texas, 77469, United States",114024.51,29.5516986,-95.7475416,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.748126 29.552174, -95.748117 29.551392, -95.748045 29.551393, -95.748044 29.551296, -95.747733 29.551299, -95.747732 29.551279, -95.747336 29.551282, -95.747335 29.551263, -95.747016 29.551266, -95.747017 29.551343, -95.746966 29.551343, -95.746967 29.551399, -95.746803 29.551401, -95.746806 29.551711, -95.746914 29.55171, -95.746914 29.551745, -95.747107 29.551744, -95.747111 29.552096, -95.747454 29.552093, -95.747455 29.552179, -95.748126 29.552174)))",microsoft_us_building_footprints
ms-tx-000408,Microsoft footprint TX #409,TX,Katy,Harris County,"Dick's House of Sport, 24600, Katy Freeway, Katy, Harris County, Texas, 77494, United States",105293.57,29.7879774,-95.7918680,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.792615 29.788277, -95.79262 29.787681, -95.79223 29.787678, -95.79223 29.787687, -95.791272 29.787681, -95.791272 29.78767, -95.791066 29.787668, -95.791061 29.788152, -95.791342 29.788153, -95.791341 29.788268, -95.791824 29.788271, -95.791823 29.788344, -95.79218 29.788346, -95.79218 29.788274, -95.792615 29.788277)))",microsoft_us_building_footprints
ms-tx-000409,Microsoft footprint TX #410,TX,,Fort Bend County,"Randolph Foster, FM 723, Fort Bend County, Texas, 77469, United States",237498.64,29.6272373,-95.8100693,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.809539 29.626019, -95.809876 29.627322, -95.809592 29.627378, -95.809563 29.627466, -95.809883 29.627546, -95.809947 29.627793, -95.809314 29.627634, -95.809501 29.628358, -95.809588 29.628446, -95.810015 29.628363, -95.810006 29.62833, -95.810208 29.62829, -95.810171 29.628148, -95.810741 29.628037, -95.810705 29.627897, -95.810616 29.627914, -95.81075 29.627511, -95.810592 29.627542, -95.810391 29.627336, -95.810452 29.627151, -95.810356 29.627052, -95.810506 29.626941, -95.810483 29.626852, -95.810709 29.626807, -95.810719 29.626779, -95.810686 29.626651, -95.810605 29.626631, -95.810744 29.626213, -95.810097 29.62634, -95.810182 29.626083, -95.810073 29.626056, -95.810038 29.625922, -95.809539 29.626019)))",microsoft_us_building_footprints
ms-tx-000410,Microsoft footprint TX #411,TX,Katy,Fort Bend County,"H-E-B, 25675, Nelson Way, Katy, Fort Bend County, Texas, 77494, United States",103876.33,29.7734282,-95.8224709,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.823079 29.773447, -95.822874 29.773272, -95.822889 29.773243, -95.822777 29.773147, -95.822831 29.7731, -95.822694 29.772983, -95.822549 29.772928, -95.822508 29.772964, -95.822376 29.772851, -95.822203 29.772785, -95.82207 29.772902, -95.822145 29.772966, -95.821911 29.773173, -95.821867 29.773136, -95.821796 29.773199, -95.821834 29.773231, -95.821756 29.7733, -95.822065 29.773563, -95.822127 29.773587, -95.822138 29.773564, -95.822188 29.773583, -95.822299 29.773678, -95.822255 29.773717, -95.822389 29.773831, -95.822407 29.773856, -95.822866 29.774248, -95.823024 29.774108, -95.822754 29.773877, -95.822895 29.773753, -95.822812 29.773682, -95.823079 29.773447)))",microsoft_us_building_footprints
ms-tx-000411,Microsoft footprint TX #412,TX,Hockley,Harris County,"Betka Road, Hockley, Harris County, Texas, 77447, United States",113574.25,30.0240244,-95.8630180,,commercial_industrial_unknown,unknown,"MULTIPOLYGON (((-95.863878 30.024221, -95.863877 30.02416, -95.863896 30.02416, -95.863893 30.024024, -95.863875 30.024024, -95.863871 30.023805, -95.863818 30.023805, -95.863815 30.023601, -95.863687 30.023603, -95.863687 30.023561, -95.863566 30.023563, -95.863564 30.023463, -95.863492 30.023464, -95.863498 30.02381, -95.863267 30.023813, -95.863267 30.023767, -95.863098 30.02377, -95.863098 30.023815, -95.862716 30.02382, -95.862712 30.023614, -95.862373 30.023618, -95.862377 30.023823, -95.862275 30.023825, -95.862286 30.024462, -95.863013 30.024453, -95.863009 30.024233, -95.863878 30.024221)))",microsoft_us_building_footprints
